parameter_pairs,S2,S2_conf
c3 - b7,0.00042770104819359446,0.0012186002146974888
c3 - c7,0.0001198358299842044,0.001206245021972314
b3 - d4,0.0006926702756100875,0.0012491176161605617
b3 - c41,0.0006596294315455784,0.0012510709643520621
b3 - c42,0.0007065496385545701,0.001261104956668265
b3 - e5,0.0009391663897544973,0.0012506130014505094
b3 - c51,0.0006594377624478376,0.0012548086823218044
b3 - c52,0.0013167603883740275,0.0012466463945997191
b3 - K6,0.0006547547486808757,0.0012515326033415465
b3 - f6,0.0006474775108954829,0.0012511788825995364
b3 - b6,0.0006550513319760145,0.0012465825438200539
b3 - c6,0.0006498850573432583,0.0012500304526402617
b3 - K7,0.0006674118689877179,0.0012520647790892373
b3 - g7,0.0006644968123415309,0.0012502528030503897
b3 - b7,0.0008005676377277988,0.0012518882158529057
b3 - c7,0.0006298803669570732,0.0012521109723878322
d4 - c41,1.7905443420251464e-05,0.00048453163065586104
d4 - c42,0.0002378037843854397,0.0004863687804288514
d4 - e5,4.529835645934082e-05,0.0004978261258271163
d4 - c51,1.6109526556422797e-05,0.00048552341725669287
d4 - c52,-1.029222138105787e-05,0.00048410931669333506
d4 - K6,1.2981660831150912e-05,0.0004855837085467114
d4 - f6,1.3720452406920043e-05,0.0004854952996397429
d4 - b6,2.8583129170229736e-05,0.0004856808672535786
d4 - c6,2.002563462901854e-05,0.00048523260711383825
d4 - K7,1.2654599961406908e-05,0.00048550937323934385
d4 - g7,1.013257896871492e-05,0.00048683066737303075
d4 - b7,2.5824643089517214e-05,0.0004840048673487293
d4 - c7,1.5831994973378215e-05,0.00048814698044589516
c41 - c42,-4.749824452568885e-05,0.0001814541128137421
c41 - e5,-4.78833066865701e-05,0.00018478087482779067
c41 - c51,-5.509992028516508e-05,0.00018137510149218844
c41 - c52,-3.664017485350418e-05,0.00017973374681067673
c41 - K6,-5.7321912801939546e-05,0.00018161494242554177
c41 - f6,-5.639230501789361e-05,0.00018079791818858873
c41 - b6,-5.5038647208176684e-05,0.00018107281052435011
c41 - c6,-5.2892884065175336e-05,0.00018069234105594307
c41 - K7,-5.5446504971376004e-05,0.00018154301861944414
